timeOpen;timeClose;timeHigh;timeLow;name;open;high;low;close;volume;marketCap;timestamp
"2024-08-20T00:00:00.000Z";"2024-08-20T23:59:59.999Z";"2024-08-20T05:25:00.000Z";"2024-08-20T15:08:00.000Z";"2790";130.2145719378;134.2096240282;127.2178497571;128.651530356;1916404096.1328063;60240028205.2381;"2024-08-20T23:59:59.999Z"
"2024-08-19T00:00:00.000Z";"2024-08-19T23:59:59.999Z";"2024-08-19T17:37:00.000Z";"2024-08-19T10:10:00.000Z";"2790";129.3341444705;131.8017248463;127.5305795023;130.2297660214;1884451766.4782743;61040830153.56526;"2024-08-19T23:59:59.999Z"
"2024-08-18T00:00:00.000Z";"2024-08-18T23:59:59.999Z";"2024-08-18T20:47:00.000Z";"2024-08-18T04:33:00.000Z";"2790";128.539633655;133.2695527364;127.7792011999;129.3321482541;1691736808.0684824;60259355690.56746;"2024-08-18T23:59:59.999Z"
"2024-08-17T00:00:00.000Z";"2024-08-17T23:59:59.999Z";"2024-08-17T23:17:00.000Z";"2024-08-17T00:37:00.000Z";"2790";126.3024596014;128.6885885881;124.9751134985;128.539633655;1087523930.364996;59926174645.30399;"2024-08-17T23:59:59.999Z"
"2024-08-16T00:00:00.000Z";"2024-08-16T23:59:59.999Z";"2024-08-16T06:53:00.000Z";"2024-08-16T17:26:00.000Z";"2790";130.0677349687;131.8558035154;123.9023138959;126.3024596014;2467187424.8910627;59180263172.56294;"2024-08-16T23:59:59.999Z"
"2024-08-15T00:00:00.000Z";"2024-08-15T23:59:59.999Z";"2024-08-15T16:24:00.000Z";"2024-08-15T19:10:00.000Z";"2790";130.7030787009;134.116723521;125.8436882127;130.1068123455;2754204346.56506;60516608447.170906;"2024-08-15T23:59:59.999Z"
"2024-08-14T00:00:00.000Z";"2024-08-14T23:59:59.999Z";"2024-08-14T12:47:00.000Z";"2024-08-14T22:10:00.000Z";"2790";133.4237549955;138.0183578295;129.5621819251;130.7117228605;2468659388.703377;61102556315.49047;"2024-08-14T23:59:59.999Z"
"2024-08-13T00:00:00.000Z";"2024-08-13T23:59:59.999Z";"2024-08-13T17:04:00.000Z";"2024-08-13T03:52:00.000Z";"2790";133.9190752608;136.3669273469;130.8579872817;133.4241951336;2034087753.2596161;62629476387.95848;"2024-08-13T23:59:59.999Z"
"2024-08-12T00:00:00.000Z";"2024-08-12T23:59:59.999Z";"2024-08-12T11:58:00.000Z";"2024-08-12T00:01:00.000Z";"2790";129.6849919663;138.0807547109;129.6013589896;133.9269848663;3097233467.9879436;62632948371.31079;"2024-08-12T23:59:59.999Z"
"2024-08-11T00:00:00.000Z";"2024-08-11T23:59:59.999Z";"2024-08-11T09:25:00.000Z";"2024-08-11T23:47:00.000Z";"2790";140.9195752863;144.553489359;129.5110844855;129.6872825799;2207465244.1014686;60462256144.866684;"2024-08-11T23:59:59.999Z"
"2024-08-10T00:00:00.000Z";"2024-08-10T23:59:59.999Z";"2024-08-10T00:25:00.000Z";"2024-08-10T04:52:00.000Z";"2790";143.2264164311;145.1752319242;139.9453406402;140.917285045;1522350974.7605803;65741553886.92143;"2024-08-10T23:59:59.999Z"
"2024-08-09T00:00:00.000Z";"2024-08-09T23:59:59.999Z";"2024-08-09T00:01:00.000Z";"2024-08-09T16:05:00.000Z";"2790";149.2681876737;149.5602019881;138.4328543387;143.2264164311;2948078567.4089465;66860206626.366486;"2024-08-09T23:59:59.999Z"
"2024-08-08T00:00:00.000Z";"2024-08-08T23:59:59.999Z";"2024-08-08T23:58:00.000Z";"2024-08-08T00:41:00.000Z";"2790";132.3553430067;149.3612471622;129.9373040588;149.2740531805;4928482460.8103075;69531545075.86636;"2024-08-08T23:59:59.999Z"
"2024-08-07T00:00:00.000Z";"2024-08-07T23:59:59.999Z";"2024-08-07T05:40:00.000Z";"2024-08-07T19:36:00.000Z";"2790";131.8897061089;142.0970449927;130.6543816446;132.3106019087;5061578860.569759;61738971855.55758;"2024-08-07T23:59:59.999Z"
"2024-08-06T00:00:00.000Z";"2024-08-06T23:59:59.999Z";"2024-08-06T22:19:00.000Z";"2024-08-06T00:01:00.000Z";"2790";118.5873360139;136.6355641075;118.5194166698;131.8679029642;5308694466.826571;61273920790.80026;"2024-08-06T23:59:59.999Z"
"2024-08-05T00:00:00.000Z";"2024-08-05T23:59:59.999Z";"2024-08-05T00:07:00.000Z";"2024-08-05T13:30:00.000Z";"2790";126.5308110178;127.5341442243;100.6001671057;118.5827281321;12936328724.538012;55416317279.258026;"2024-08-05T23:59:59.999Z"
"2024-08-04T00:00:00.000Z";"2024-08-04T23:59:59.999Z";"2024-08-04T02:36:00.000Z";"2024-08-04T17:46:00.000Z";"2790";130.9229337256;133.5938601703;121.0458855286;126.5862955318;3969769218.621214;58865109248.46589;"2024-08-04T23:59:59.999Z"
"2024-08-03T00:00:00.000Z";"2024-08-03T23:59:59.999Z";"2024-08-03T00:25:00.000Z";"2024-08-03T18:34:00.000Z";"2790";139.7721979642;140.8148446175;128.4491154859;130.922985613;3315348834.7384057;60907085639.11684;"2024-08-03T23:59:59.999Z"
"2024-08-02T00:00:00.000Z";"2024-08-02T23:59:59.999Z";"2024-08-02T00:22:00.000Z";"2024-08-02T19:52:00.000Z";"2790";155.4377461065;156.7444930391;137.5552951369;139.7721979642;4178913830.9035563;65838967022.093925;"2024-08-02T23:59:59.999Z"
"2024-08-01T00:00:00.000Z";"2024-08-01T23:59:59.999Z";"2024-08-01T00:08:00.000Z";"2024-08-01T18:46:00.000Z";"2790";158.7473232604;159.5056320606;146.4476582048;155.4047258532;4067711329.1098065;72068884420.14293;"2024-08-01T23:59:59.999Z"
"2024-07-31T00:00:00.000Z";"2024-07-31T23:59:59.999Z";"2024-07-31T09:47:00.000Z";"2024-07-31T23:59:00.000Z";"2790";165.5766201539;170.1317098388;158.7662671904;158.7726953574;2824386585.3545094;73881378813.76949;"2024-07-31T23:59:59.999Z"
"2024-07-30T00:00:00.000Z";"2024-07-30T23:59:59.999Z";"2024-07-30T05:04:00.000Z";"2024-07-30T20:11:00.000Z";"2790";168.9136683908;170.1583189379;162.8409834651;165.5763623903;2556438812.334519;76940364655.27095;"2024-07-30T23:59:59.999Z"
"2024-07-29T00:00:00.000Z";"2024-07-29T23:59:59.999Z";"2024-07-29T05:43:00.000Z";"2024-07-29T23:19:00.000Z";"2790";170.3406310097;178.3478082595;168.0811739835;168.8973172567;3366791030.041985;78272687472.43872;"2024-07-29T23:59:59.999Z"
